timestamp,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000486-0000,TJ-00CB-00000488-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000
1763545170703,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170728,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170753,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170778,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170803,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170828,-83,-79,-70,-78,-100,-68,-75,-83,-79,-76,-87
1763545170853,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545170879,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545170904,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545170930,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545170955,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545170981,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171006,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171031,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171056,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171081,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171106,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171131,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171157,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171181,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171206,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171231,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171256,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171281,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171306,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171331,-82,-80,-70,-78,-100,-67,-73,-78,-79,-74,-87
1763545171356,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171382,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171407,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171432,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171457,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171482,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171507,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171532,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171557,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171582,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171607,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171632,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
1763545171657,-83,-80,-69,-77,-100,-67,-70,-77,-81,-72,-100
