timestamp,TJ-00CB-0000047D-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000048A-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000,TJ-00CB-00000486-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000488-0000
1763545248978,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249002,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249028,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249054,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249080,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249105,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249130,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249155,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249180,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249205,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249230,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249255,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249280,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249305,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249330,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249356,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249381,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249406,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249431,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249456,-81,-78,-100,-100,-100,-81,-100,-60,-100,-100,-64
1763545249481,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249506,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249531,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249556,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249582,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249607,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249632,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249657,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249682,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249707,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249732,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249757,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249782,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249807,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249832,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249858,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249883,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249909,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249934,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249960,-82,-75,-100,-100,-100,-80,-100,-57,-100,-100,-63
1763545249985,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250010,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250035,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250060,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250085,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250110,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250136,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250160,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250185,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250210,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250235,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250260,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250285,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250310,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250335,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250361,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250386,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250411,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250436,-80,-73,-100,-100,-100,-78,-100,-57,-100,-100,-63
1763545250462,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250487,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250512,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250537,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250562,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250587,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250612,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250638,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250663,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250688,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250714,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250739,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250764,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250789,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250816,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250841,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250866,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250892,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250918,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250943,-76,-73,-100,-100,-100,-78,-85,-56,-100,-100,-63
1763545250969,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545250994,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251020,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251045,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251070,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251097,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251122,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251147,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251172,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251197,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251225,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251250,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251275,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251300,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251325,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251350,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251375,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251400,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251425,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251450,-77,-74,-100,-100,-100,-79,-85,-54,-100,-100,-61
1763545251476,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251500,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251525,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251550,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251575,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251601,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251626,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251651,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251676,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251702,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251727,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251752,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251779,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251804,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251829,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251854,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251879,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251904,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251929,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
1763545251954,-80,-76,-100,-100,-100,-82,-86,-51,-100,-100,-62
