timestamp,TJ-00CB-00000483-0000,TJ-00CB-0000048A-0000,TJ-00CB-00000480-0000,TJ-00CB-00000481-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000482-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000486-0000,TJ-00CB-0000047F-0000,TJ-00CB-00000488-0000,TJ-00CB-00000477-0000
1763545032373,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032398,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032423,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032449,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032474,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032499,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032524,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032550,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032575,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032600,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032625,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032650,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032676,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032702,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032727,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032752,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032777,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032803,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032828,-83,-79,-79,-100,-100,-57,-100,-100,-100,-100,-100
1763545032853,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545032879,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545032904,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545032929,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545032954,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545032979,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033004,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033029,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033054,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033079,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033104,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033129,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033156,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033181,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033206,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033232,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033257,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033282,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033307,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033332,-83,-78,-79,-100,-100,-59,-100,-100,-100,-100,-100
1763545033357,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033382,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033408,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033433,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033458,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033484,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033509,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033535,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033560,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033585,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033610,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033635,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033660,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033685,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033711,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033736,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033761,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033787,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033812,-84,-75,-74,-100,-100,-59,-100,-100,-100,-100,-100
1763545033837,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545033863,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545033887,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545033912,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545033938,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545033963,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545033988,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034013,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034039,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034065,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034090,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034115,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034140,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034165,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034190,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034215,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034240,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034265,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034291,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034316,-84,-77,-74,-100,-100,-58,-100,-100,-100,-100,-100
1763545034341,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034367,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034392,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034417,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034442,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034467,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034492,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034517,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034543,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034567,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034592,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034617,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034642,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034668,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034693,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034719,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034744,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034769,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034794,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034821,-81,-79,-75,-100,-86,-58,-100,-100,-100,-100,-100
1763545034847,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545034873,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545034898,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545034923,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545034948,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545034973,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545034998,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035023,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035048,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035073,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035099,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035124,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035150,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035175,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035200,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035226,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035250,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035275,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035300,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035325,-81,-78,-75,-100,-86,-59,-100,-100,-100,-100,-100
1763545035350,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035376,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035401,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035427,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035452,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035477,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035502,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035527,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035552,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035577,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035603,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035627,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035652,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035677,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035702,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035727,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035752,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035778,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035804,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035830,-81,-77,-72,-100,-100,-56,-100,-100,-100,-100,-100
1763545035855,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545035880,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545035906,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545035931,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545035957,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545035982,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
1763545036007,-81,-75,-73,-100,-89,-53,-100,-100,-100,-100,-100
