x,y,heading,step_length,RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11
6.610821375477242,-2.013570813392173,-81.80720244591716,0.6606325335869937,1763545345458,-100,-100,-48,-100,-100,-100,-100,-100,-72,-100,-75
6.692673752643989,-2.699357093345009,-83.19363122900809,0.6906537724644655,1763545345967,-100,-78,-48,-85,-100,-100,-89,-100,-75,-100,-75
6.7337568507240935,-3.3096484810441984,-86.14881975396585,0.6116726239154909,1763545346473,-100,-78,-53,-85,-100,-100,-88,-100,-70,-100,-76
6.8057182046935285,-3.9701691074605874,-83.78235262428255,0.6644290288560645,1763545347008,-100,-78,-59,-100,-100,-100,-87,-100,-68,-100,-72
6.792640943396798,-4.585292257615554,-91.21790088300327,0.6152621430086466,1763545347510,-100,-74,-61,-100,-100,-100,-79,-100,-68,-100,-69
6.866486237019957,-5.176854786580978,-82.88452248575925,0.5961537998421703,1763545347991,-100,-74,-61,-100,-100,-100,-79,-100,-68,-100,-69
6.90394906458452,-5.775363253839811,-86.41832097145398,0.5996797885785794,1763545348574,-100,-71,-62,-81,-100,-100,-82,-100,-63,-100,-71
6.989753855623477,-6.313517906099904,-80.94086381861767,0.544952192320042,1763545349053,-100,-72,-67,-80,-100,-100,-80,-100,-61,-100,-70
7.039040201487718,-6.891190561987889,-85.12340190464542,0.5797713698082444,1763545349559,-100,-69,-69,-79,-100,-100,-77,-100,-59,-100,-69
7.30886651889921,-7.437867464379515,-63.73018297233793,0.6096407771600835,1763545350040,-100,-61,-66,-79,-100,-100,-76,-100,-57,-100,-69
7.638314580206073,-7.861323252358102,-52.117129603360254,0.5365173151645868,1763545350577,-100,-62,-67,-81,-100,-100,-77,-100,-55,-90,-69
8.202866078627421,-8.008861014747456,-14.645905605518035,0.5835115985999313,1763545351187,-100,-63,-68,-80,-100,-100,-76,-100,-53,-90,-68
8.762431079886627,-8.060494924526068,-5.272043650204388,0.5619422134643736,1763545351664,-100,-62,-68,-79,-100,-100,-76,-100,-52,-100,-68
9.370113546090124,-7.975372538569544,7.973941858911965,0.613615352091273,1763545352190,-100,-63,-67,-78,-100,-100,-76,-100,-51,-100,-66
9.96100834379032,-7.956170636119054,1.8612466187502368,0.5912067108946536,1763545352717,-87,-59,-67,-78,-100,-100,-82,-100,-50,-100,-66
10.622933278448583,-7.8322046896505,10.60753173066233,0.6734331258604592,1763545353326,-87,-56,-68,-81,-100,-100,-79,-100,-49,-100,-68
11.196104362405618,-7.724558450686398,10.636714065053635,0.5831919103070607,1763545353753,-87,-60,-68,-83,-100,-100,-76,-100,-51,-100,-65
11.810223144975353,-7.513588942793588,18.959241064214158,0.6493458341788809,1763545354308,-100,-63,-66,-77,-100,-100,-77,-100,-54,-100,-65
12.307400315086587,-7.41766325847719,10.92049516264402,0.5063465961092114,1763545354764,-100,-65,-66,-77,-100,-100,-78,-100,-55,-100,-65
12.87316913137322,-7.32390885340911,9.409066642671888,0.5734842996560998,1763545355297,-100,-65,-71,-78,-100,-100,-74,-100,-61,-100,-65
13.37120096820294,-7.279588547633805,5.085407295552302,0.5,1763545355751,-100,-60,-74,-78,-100,-100,-74,-100,-57,-100,-62
13.958373787641102,-7.1716456777516155,10.416659757111663,0.5970122134809001,1763545356230,-88,-56,-74,-76,-100,-100,-73,-100,-55,-100,-61
14.532371644388325,-7.111455274630176,5.986256431151488,0.5771450633751677,1763545356733,-85,-57,-73,-78,-100,-100,-73,-100,-61,-100,-60
15.11982062628314,-6.99111404923068,11.577093654788444,0.5996484944197772,1763545357242,-85,-59,-73,-77,-100,-100,-72,-100,-64,-100,-56
15.693395485819812,-6.942135246589545,4.880770758694011,0.5756622643535644,1763545357745,-100,-60,-72,-76,-100,-100,-70,-100,-64,-100,-54
16.35665998730093,-6.832170681236145,9.413606929675142,0.6723183803514208,1763545358250,-100,-59,-70,-75,-100,-100,-69,-100,-64,-100,-52
16.934797892591586,-6.805712409942146,2.62029224882942,0.5787430152094589,1763545358803,-100,-59,-73,-75,-100,-100,-70,-100,-66,-100,-52
17.539171413881235,-6.715656244160299,8.475140787295572,0.6110462062981611,1763545359208,-86,-59,-77,-75,-100,-100,-72,-100,-67,-100,-58
18.170900133908514,-6.66354560960067,4.715592013456826,0.6338743518565118,1763545359765,-88,-59,-78,-76,-100,-100,-71,-100,-68,-80,-62
18.8600061144559,-6.5405295635992395,10.121561936007533,0.7,1763545360246,-89,-60,-77,-78,-100,-100,-71,-100,-70,-81,-63
19.556003212487457,-6.465776372820172,6.130321645081911,0.7,1763545360752,-89,-61,-80,-80,-100,-100,-72,-100,-71,-82,-63
